Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
71	2	822.274657, 441.726629	-0.647274, 1.444676	-0.000115, -0.000051
71	3	953.002783, 426.083438	-0.258272, 1.223418	-0.000024, -0.000005
72	1	640.000218, 360.000028	0.000008, 0.000002	0.000138, 0.000056
72	2	821.782770, 442.807252	-0.655850, 1.440831	-0.000114, -0.000051
72	3	952.806390, 427.000434	-0.261858, 1.222662	-0.000024, -0.000005
73	1	640.000224, 360.000029	0.000008, 0.000002	0.000138, 0.000057
73	2	821.284469, 443.884953	-0.664402, 1.436935	-0.000114, -0.000052
73	3	952.607310, 427.916855	-0.265441, 1.221894	-0.000024, -0.000005
74	1	640.000230, 360.000031	0.000008, 0.000002	0.000138, 0.000058
74	2	820.779770, 444.959694	-0.672931, 1.432988	-0.000114, -0.000053
74	3	952.405543, 428.832692	-0.269022, 1.221116	-0.000024, -0.000005
75	1	640.000236, 360.000032	0.000008, 0.000002	0.000137, 0.000059
75	2	820.268692, 446.031436	-0.681437, 1.428990	-0.000113, -0.000053
75	3	952.201093, 429.747938	-0.272601, 1.220328	-0.000024, -0.000005
76	1	640.000243, 360.000033	0.000008, 0.000002	0.000137, 0.000059
76	2	819.751253, 447.100143	-0.689920, 1.424942	-0.000113, -0.000054
76	3	951.993960, 430.662584	-0.276177, 1.219529	-0.000024, -0.000005
77	1	640.000249, 360.000035	0.000008, 0.000002	0.000137, 0.000060
77	2	819.227469, 448.165776	-0.698378, 1.420844	-0.000113, -0.000055
77	3	951.784146, 431.576624	-0.279751, 1.218719	-0.000024, -0.000005
78	1	640.000255, 360.000036	0.000008, 0.000002	0.000136, 0.000061
78	2	818.697360, 449.228297	-0.706812, 1.416695	-0.000112, -0.000055
78	3	951.571654, 432.490048	-0.283323, 1.217899	-0.000024, -0.000005
79	1	640.000262, 360.000037	0.000009, 0.000002	0.000136, 0.000062
79	2	818.160943, 450.287668	-0.715222, 1.412495	-0.000112, -0.000056
79	3	951.356484, 433.402850	-0.286893, 1.217069	-0.000024, -0.000006
80	1	640.000268, 360.000039	0.000009, 0.000002	0.000136, 0.000062
80	2	817.618238, 451.343853	-0.723607, 1.408246	-0.000112, -0.000057
80	3	951.138639, 434.315021	-0.290460, 1.216228	-0.000024, -0.000006
81	1	640.000275, 360.000040	0.000009, 0.000002	0.000135, 0.000063
81	2	817.069264, 452.396813	-0.731966, 1.403947	-0.000111, -0.000057
81	3	950.918121, 435.226554	-0.294024, 1.215377	-0.000024, -0.000006
82	1	640.000281, 360.000042	0.000009, 0.000002	0.000135, 0.000064
82	2	816.514038, 453.446511	-0.740300, 1.399598	-0.000111, -0.000058
82	3	950.694931, 436.137440	-0.297586, 1.214515	-0.000024, -0.000006
83	1	640.000288, 360.000043	0.000009, 0.000002	0.000135, 0.000064
83	2	815.952582, 454.492911	-0.748609, 1.395199	-0.000111, -0.000059
83	3	950.469072, 437.047672	-0.301146, 1.213643	-0.000024, -0.000006
84	1	640.000295, 360.000045	0.000009, 0.000002	0.000134, 0.000065
84	2	815.384913, 455.535974	-0.756891, 1.390751	-0.000110, -0.000059
84	3	950.240545, 437.957243	-0.304703, 1.212760	-0.000024, -0.000006
85	1	640.000302, 360.000046	0.000009, 0.000002	0.000134, 0.000066
85	2	814.811053, 456.575665	-0.765147, 1.386254	-0.000110, -0.000060
85	3	950.009352, 438.866143	-0.308257, 1.211867	-0.000024, -0.000006
86	1	640.000309, 360.000048	0.000009, 0.000002	0.000133, 0.000067
86	2	814.231020, 457.611945	-0.773377, 1.381708	-0.000110, -0.000061
86	3	949.775495, 439.774366	-0.311809, 1.210964	-0.000024, -0.000006
87	1	640.000316, 360.000050	0.000009, 0.000002	0.000133, 0.000067
87	2	813.644836, 458.644779	-0.781579, 1.377112	-0.000109, -0.000061
87	3	949.538976, 440.681903	-0.315358, 1.210050	-0.000024, -0.000006
88	1	640.000323, 360.000051	0.000009, 0.000002	0.000133, 0.000068
88	2	813.052520, 459.674130	-0.789755, 1.372468	-0.000109, -0.000062
88	3	949.299797, 441.588747	-0.318905, 1.209125	-0.000024, -0.000006
89	1	640.000330, 360.000053	0.000010, 0.000002	0.000132, 0.000069
89	2	812.454093, 460.699961	-0.797902, 1.367775	-0.000109, -0.000063
89	3	949.057960, 442.494890	-0.322449, 1.208191	-0.000024, -0.000006
90	1	640.000337, 360.000055	0.000010, 0.000002	0.000132, 0.000070
90	2	811.849576, 461.722236	-0.806022, 1.363033	-0.000108, -0.000063
90	3	948.813468, 443.400324	-0.325990, 1.207245	-0.000024, -0.000006
91	1	640.000345, 360.000057	0.000010, 0.000002	0.000131, 0.000070
91	2	811.238991, 462.740919	-0.814114, 1.358243	-0.000108, -0.000064
91	3	948.566322, 444.305042	-0.329528, 1.206290	-0.000024, -0.000006
92	1	640.000352, 360.000059	0.000010, 0.000003	0.000131, 0.000071
92	2	810.622358, 463.755973	-0.822178, 1.353405	-0.000108, -0.000065
92	3	948.316524, 445.209035	-0.333064, 1.205324	-0.000024, -0.000006
93	1	640.000360, 360.000061	0.000010, 0.000003	0.000131, 0.000072
93	2	809.999698, 464.767362	-0.830212, 1.348519	-0.000107, -0.000065
93	3	948.064076, 446.112296	-0.336597, 1.204348	-0.000024, -0.000007
94	1	640.000367, 360.000063	0.000010, 0.000003	0.000130, 0.000072
94	2	809.371035, 465.775051	-0.838218, 1.343585	-0.000107, -0.000066
94	3	947.808981, 447.014816	-0.340127, 1.203361	-0.000024, -0.000007
95	1	640.000375, 360.000065	0.000010, 0.000003	0.000130, 0.000073
95	2	808.736389, 466.779004	-0.846195, 1.338604	-0.000106, -0.000066
95	3	947.551241, 447.916590	-0.343654, 1.202364	-0.000024, -0.000007
96	1	640.000383, 360.000067	0.000010, 0.000003	0.000129, 0.000074
96	2	808.095782, 467.779185	-0.854142, 1.333575	-0.000106, -0.000067
96	3	947.290858, 448.817607	-0.347178, 1.201357	-0.000023, -0.000007
97	1	640.000390, 360.000069	0.000010, 0.000003	0.000129, 0.000074
97	2	807.449238, 468.775559	-0.862059, 1.328498	-0.000106, -0.000068
97	3	947.027833, 449.717862	-0.350699, 1.200339	-0.000023, -0.000007
98	1	640.000398, 360.000071	0.000010, 0.000003	0.000129, 0.000075
98	2	806.796779, 469.768090	-0.869946, 1.323375	-0.000105, -0.000068
98	3	946.762171, 450.617345	-0.354217, 1.199311	-0.000023, -0.000007
99	1	640.000406, 360.000073	0.000011, 0.000003	0.000128, 0.000076
99	2	806.138426, 470.756743	-0.877803, 1.318204	-0.000105, -0.000069
99	3	946.493871, 451.516050	-0.357732, 1.198273	-0.000023, -0.000007
100	1	640.000414, 360.000075	0.000011, 0.000003	0.000128, 0.000077
100	2	805.474205, 471.741483	-0.885629, 1.312987	-0.000104, -0.000070
100	3	946.222938, 452.413968	-0.361245, 1.197224	-0.000023, -0.000007
101	1	640.000422, 360.000077	0.000011, 0.000003	0.000127, 0.000077
101	2	804.804136, 472.722275	-0.893424, 1.307723	-0.000104, -0.000070
101	3	945.949373, 453.311092	-0.364754, 1.196165	-0.000023, -0.000007
102	1	640.000430, 360.000080	0.000011, 0.000003	0.000127, 0.000078
102	2	804.128245, 473.699084	-0.901188, 1.302412	-0.000104, -0.000071
102	3	945.673178, 454.207414	-0.368260, 1.195096	-0.000023, -0.000007
103	1	640.000439, 360.000082	0.000011, 0.000003	0.000126, 0.000079
103	2	803.446555, 474.671876	-0.908920, 1.297056	-0.000103, -0.000071
103	3	945.394356, 455.102927	-0.371763, 1.194017	-0.000023, -0.000007
104	1	640.000447, 360.000084	0.000011, 0.000003	0.000126, 0.000079
104	2	802.759089, 475.640616	-0.916621, 1.291653	-0.000103, -0.000072
104	3	945.112909, 455.997622	-0.375262, 1.192927	-0.000023, -0.000007
105	1	640.000455, 360.000087	0.000011, 0.000003	0.000126, 0.000080
105	2	802.065872, 476.605269	-0.924290, 1.286204	-0.000102, -0.000073
105	3	944.828840, 456.891492	-0.378759, 1.191827	-0.000023, -0.000007
106	1	640.000464, 360.000089	0.000011, 0.000003	0.000125, 0.000081
106	2	801.366928, 477.565801	-0.931926, 1.280710	-0.000102, -0.000073
106	3	944.542151, 457.784529	-0.382252, 1.190717	-0.000023, -0.000007
107	1	640.000472, 360.000092	0.000011, 0.000003	0.000125, 0.000081
107	2	800.662281, 478.522179	-0.939529, 1.275170	-0.000101, -0.000074
107	3	944.252844, 458.676726	-0.385742, 1.189596	-0.000023, -0.000007
108	1	640.000481, 360.000094	0.000011, 0.000003	0.000124, 0.000082
108	2	799.951956, 479.474368	-0.947100, 1.269585	-0.000101, -0.000074
108	3	943.960922, 459.568075	-0.389229, 1.188465	-0.000023, -0.000008
109	1	640.000489, 360.000097	0.000012, 0.000003	0.000124, 0.000083
109	2	799.235977, 480.422334	-0.954638, 1.263955	-0.000101, -0.000075
109	3	943.666387, 460.458568	-0.392713, 1.187324	-0.000023, -0.000008
110	1	640.000498, 360.000100	0.000012, 0.000004	0.000123, 0.000083
110	2	798.514371, 481.366044	-0.962142, 1.258280	-0.000100, -0.000076
110	3	943.369243, 461.348198	-0.396193, 1.186173	-0.000023, -0.000008
111	1	640.000507, 360.000102	0.000012, 0.000004	0.000123, 0.000084
111	2	797.787162, 482.305464	-0.969612, 1.252560	-0.000100, -0.000076
111	3	943.069490, 462.236957	-0.399670, 1.185011	-0.000023, -0.000008
112	1	640.000516, 360.000105	0.000012, 0.000004	0.000122, 0.000085
112	2	797.054375, 483.240561	-0.977049, 1.246796	-0.000099, -0.000077
112	3	942.767133, 463.124836	-0.403143, 1.183840	-0.000023, -0.000008
113	1	640.000525, 360.000108	0.000012, 0.000004	0.000122, 0.000085
113	2	796.316037, 484.171301	-0.984451, 1.240987	-0.000099, -0.000077
113	3	942.462173, 464.011830	-0.406613, 1.182658	-0.000023, -0.000008
114	1	640.000534, 360.000111	0.000012, 0.000004	0.000121, 0.000086
114	2	795.572173, 485.097652	-0.991819, 1.235134	-0.000098, -0.000078
114	3	942.154613, 464.897929	-0.410080, 1.181466	-0.000023, -0.000008
115	1	640.000543, 360.000114	0.000012, 0.000004	0.000121, 0.000087
115	2	794.822809, 486.019580	-0.999152, 1.229238	-0.000098, -0.000079
115	3	941.844456, 465.783127	-0.413543, 1.180264	-0.000023, -0.000008
116	1	640.000552, 360.000117	0.000012, 0.000004	0.000120, 0.000087
116	2	794.067971, 486.937053	-1.006450, 1.223297	-0.000097, -0.000079
116	3	941.531704, 466.667416	-0.417002, 1.179051	-0.000023, -0.000008
