Step	Body	Position (X, Y)	Velocity (X, Y)	Force (X, Y)
53	3	953.034841, 425.777648	-0.257114, 1.223789	-0.004786, -0.000986
54	1	640.000219, 360.000028	0.000008, 0.000002	0.000000, 0.000000
54	2	821.693512, 442.803985	-0.656239, 1.441330	-0.011452, -0.005110
54	3	952.772944, 427.000432	-0.261897, 1.222784	-0.004783, -0.001005
55	1	640.000227, 360.000030	0.000008, 0.000002	0.000000, 0.000000
55	2	821.025861, 444.240114	-0.667651, 1.436129	-0.011412, -0.005201
55	3	952.506269, 428.222192	-0.266675, 1.221760	-0.004779, -0.001024
56	1	640.000235, 360.000031	0.000008, 0.000002	0.000000, 0.000000
56	2	820.346839, 445.670952	-0.679022, 1.430838	-0.011371, -0.005291
56	3	952.234819, 429.442910	-0.271450, 1.220718	-0.004775, -0.001042
57	1	640.000244, 360.000033	0.000008, 0.000002	0.000000, 0.000000
57	2	819.656488, 447.096407	-0.690351, 1.425456	-0.011329, -0.005382
57	3	951.958598, 430.662567	-0.276221, 1.219657	-0.004771, -0.001061
58	1	640.000252, 360.000035	0.000008, 0.000002	0.000000, 0.000000
58	2	818.954851, 448.516392	-0.701637, 1.419984	-0.011287, -0.005472
58	3	951.677611, 431.881145	-0.280987, 1.218578	-0.004767, -0.001080
59	1	640.000261, 360.000037	0.000009, 0.000002	0.000000, 0.000000
59	2	818.241970, 449.930814	-0.712881, 1.414423	-0.011244, -0.005561
59	3	951.391861, 433.098624	-0.285750, 1.217479	-0.004762, -0.001098
60	1	640.000269, 360.000039	0.000009, 0.000002	0.000000, 0.000000
60	2	817.517889, 451.339586	-0.724081, 1.408772	-0.011200, -0.005651
60	3	951.101353, 434.314987	-0.290508, 1.216362	-0.004758, -0.001117
61	1	640.000278, 360.000041	0.000009, 0.000002	0.000000, 0.000000
61	2	816.782654, 452.742618	-0.735236, 1.403032	-0.011155, -0.005740
61	3	950.806092, 435.530214	-0.295262, 1.215227	-0.004754, -0.001135
62	1	640.000287, 360.000043	0.000009, 0.000002	0.000000, 0.000000
62	2	816.036308, 454.139822	-0.746346, 1.397204	-0.011110, -0.005828
62	3	950.506081, 436.744287	-0.300011, 1.214073	-0.004749, -0.001154
63	1	640.000296, 360.000045	0.000009, 0.000002	0.000000, 0.000000
63	2	815.278898, 455.531108	-0.757410, 1.391287	-0.011064, -0.005917
63	3	950.201325, 437.957187	-0.304756, 1.212900	-0.004745, -0.001173
64	1	640.000305, 360.000047	0.000009, 0.000002	0.000000, 0.000000
64	2	814.510472, 456.916390	-0.768427, 1.385282	-0.011017, -0.006005
64	3	949.891829, 439.168896	-0.309496, 1.211709	-0.004740, -0.001191
65	1	640.000315, 360.000049	0.000009, 0.000002	0.000000, 0.000000
65	2	813.731075, 458.295580	-0.779397, 1.379190	-0.010970, -0.006092
65	3	949.577597, 440.379395	-0.314232, 1.210499	-0.004736, -0.001210
66	1	640.000324, 360.000051	0.000009, 0.000002	0.000000, 0.000000
66	2	812.940757, 459.668590	-0.790318, 1.373010	-0.010922, -0.006180
66	3	949.258634, 441.588667	-0.318963, 1.209271	-0.004731, -0.001228
67	1	640.000334, 360.000054	0.000010, 0.000002	0.000000, 0.000000
67	2	812.139565, 461.035334	-0.801191, 1.366744	-0.010873, -0.006266
67	3	948.934944, 442.796691	-0.323689, 1.208024	-0.004726, -0.001247
68	1	640.000344, 360.000056	0.000010, 0.000002	0.000000, 0.000000
68	2	811.327551, 462.395725	-0.812015, 1.360391	-0.010823, -0.006353
68	3	948.606534, 444.003450	-0.328411, 1.206759	-0.004721, -0.001265
69	1	640.000354, 360.000059	0.000010, 0.000002	0.000000, 0.000000
69	2	810.504763, 463.749678	-0.822788, 1.353952	-0.010773, -0.006439
69	3	948.273406, 445.208925	-0.333127, 1.205475	-0.004717, -0.001284
70	1	640.000364, 360.000061	0.000010, 0.000003	0.000000, 0.000000
70	2	809.671253, 465.097105	-0.833510, 1.347428	-0.010722, -0.006525
70	3	947.935567, 446.413098	-0.337839, 1.204173	-0.004712, -0.001302
71	1	640.000374, 360.000064	0.000010, 0.000003	0.000000, 0.000000
71	2	808.827072, 466.437923	-0.844181, 1.340818	-0.010671, -0.006610
71	3	947.593022, 447.615951	-0.342545, 1.202852	-0.004706, -0.001321
72	1	640.000384, 360.000067	0.000010, 0.000003	0.000000, 0.000000
72	2	807.972272, 467.772046	-0.854800, 1.334123	-0.010619, -0.006695
72	3	947.245776, 448.817464	-0.347247, 1.201513	-0.004701, -0.001339
73	1	640.000394, 360.000069	0.000010, 0.000003	0.000000, 0.000000
73	2	807.106907, 469.099391	-0.865365, 1.327344	-0.010566, -0.006779
73	3	946.893833, 450.017620	-0.351943, 1.200156	-0.004696, -0.001357
74	1	640.000405, 360.000072	0.000011, 0.000003	0.000000, 0.000000
74	2	806.231029, 470.419872	-0.875877, 1.320481	-0.010512, -0.006863
74	3	946.537199, 451.216400	-0.356634, 1.198780	-0.004691, -0.001376
75	1	640.000416, 360.000075	0.000011, 0.000003	0.000000, 0.000000
75	2	805.344694, 471.733406	-0.886335, 1.313534	-0.010458, -0.006947
75	3	946.175880, 452.413786	-0.361319, 1.197386	-0.004686, -0.001394
76	1	640.000426, 360.000078	0.000011, 0.000003	0.000000, 0.000000
76	2	804.447956, 473.039910	-0.896738, 1.306504	-0.010403, -0.007030
76	3	945.809881, 453.609760	-0.365999, 1.195974	-0.004680, -0.001412
77	1	640.000437, 360.000081	0.000011, 0.000003	0.000000, 0.000000
77	2	803.540871, 474.339302	-0.907085, 1.299392	-0.010347, -0.007113
77	3	945.439207, 454.804302	-0.370674, 1.194543	-0.004675, -0.001431
78	1	640.000448, 360.000084	0.000011, 0.000003	0.000000, 0.000000
78	2	802.623495, 475.631498	-0.917376, 1.292197	-0.010291, -0.007195
78	3	945.063865, 455.997396	-0.375343, 1.193094	-0.004669, -0.001449
79	1	640.000460, 360.000088	0.000011, 0.000003	0.000000, 0.000000
79	2	801.695884, 476.916418	-0.927610, 1.284920	-0.010234, -0.007277
79	3	944.683858, 457.189022	-0.380006, 1.191626	-0.004663, -0.001467
80	1	640.000471, 360.000091	0.000011, 0.000003	0.000000, 0.000000
80	2	800.758098, 478.193980	-0.937787, 1.277561	-0.010176, -0.007358
80	3	944.299195, 458.379163	-0.384664, 1.190141	-0.004658, -0.001486
81	1	640.000482, 360.000094	0.000011, 0.000003	0.000000, 0.000000
81	2	799.810193, 479.464102	-0.947905, 1.270122	-0.010118, -0.007439
81	3	943.909879, 459.567800	-0.389316, 1.188637	-0.004652, -0.001504
82	1	640.000494, 360.000098	0.000012, 0.000003	0.000000, 0.000000
82	2	798.852229, 480.726704	-0.957964, 1.262602	-0.010059, -0.007520
82	3	943.515917, 460.754914	-0.393962, 1.187115	-0.004646, -0.001522
83	1	640.000506, 360.000102	0.000012, 0.000004	0.000000, 0.000000
83	2	797.884265, 481.981706	-0.967964, 1.255002	-0.010000, -0.007600
83	3	943.117315, 461.940489	-0.398602, 1.185575	-0.004640, -0.001540
84	1	640.000517, 360.000105	0.000012, 0.000004	0.000000, 0.000000
84	2	796.906362, 483.229029	-0.977903, 1.247323	-0.009940, -0.007679
84	3	942.714079, 463.124505	-0.403236, 1.184016	-0.004634, -0.001558
85	1	640.000529, 360.000109	0.000012, 0.000004	0.000000, 0.000000
85	2	795.918580, 484.468594	-0.987782, 1.239564	-0.009879, -0.007759
85	3	942.306215, 464.306945	-0.407864, 1.182440	-0.004628, -0.001577
86	1	640.000541, 360.000113	0.000012, 0.000004	0.000000, 0.000000
86	2	794.920980, 485.700321	-0.997599, 1.231727	-0.009817, -0.007837
86	3	941.893729, 465.487790	-0.412486, 1.180845	-0.004622, -0.001595
87	1	640.000553, 360.000117	0.000012, 0.000004	0.000000, 0.000000
87	2	793.913626, 486.924133	-1.007355, 1.223812	-0.009755, -0.007915
87	3	941.476627, 466.667022	-0.417102, 1.179232	-0.004616, -0.001613
88	1	640.000566, 360.000121	0.000012, 0.000004	0.000000, 0.000000
88	2	792.896579, 488.139952	-1.017047, 1.215819	-0.009692, -0.007993
88	3	941.054916, 467.844623	-0.421711, 1.177601	-0.004609, -0.001631
89	1	640.000578, 360.000125	0.000012, 0.000004	0.000000, 0.000000
89	2	791.869903, 489.347701	-1.026676, 1.207749	-0.009629, -0.008070
89	3	940.628602, 469.020576	-0.426314, 1.175953	-0.004603, -0.001649
90	1	640.000591, 360.000129	0.000013, 0.000004	0.000000, 0.000000
90	2	790.833661, 490.547303	-1.036241, 1.199602	-0.009565, -0.008147
90	3	940.197691, 470.194862	-0.430911, 1.174286	-0.004597, -0.001667
91	1	640.000603, 360.000133	0.000013, 0.000004	0.000000, 0.000000
91	2	789.787920, 491.738683	-1.045742, 1.191379	-0.009501, -0.008223
91	3	939.762189, 471.367463	-0.435501, 1.172601	-0.004590, -0.001685
92	1	640.000616, 360.000138	0.000013, 0.000004	0.000000, 0.000000
92	2	788.732743, 492.921763	-1.055177, 1.183081	-0.009435, -0.008299
92	3	939.322105, 472.538361	-0.440085, 1.170898	-0.004584, -0.001703
93	1	640.000629, 360.000142	0.000013, 0.000004	0.000000, 0.000000
93	2	787.668196, 494.096470	-1.064547, 1.174707	-0.009370, -0.008374
93	3	938.877443, 473.707538	-0.444662, 1.169177	-0.004577, -0.001721
94	1	640.000642, 360.000147	0.000013, 0.000005	0.000000, 0.000000
94	2	786.594346, 495.262729	-1.073850, 1.166259	-0.009303, -0.008448
94	3	938.428211, 474.874977	-0.449232, 1.167439	-0.004570, -0.001739
95	1	640.000655, 360.000151	0.000013, 0.000005	0.000000, 0.000000
95	2	785.511260, 496.420466	-1.083086, 1.157736	-0.009236, -0.008522
95	3	937.974415, 476.040659	-0.453796, 1.165682	-0.004564, -0.001757
96	1	640.000668, 360.000156	0.000013, 0.000005	0.000000, 0.000000
96	2	784.419006, 497.569606	-1.092254, 1.149141	-0.009169, -0.008596
96	3	937.516063, 477.204567	-0.458352, 1.163908	-0.004557, -0.001774
97	1	640.000682, 360.000161	0.000013, 0.000005	0.000000, 0.000000
97	2	783.317651, 498.710078	-1.101355, 1.140472	-0.009100, -0.008669
97	3	937.053160, 478.366683	-0.462902, 1.162116	-0.004550, -0.001792
98	1	640.000695, 360.000166	0.000013, 0.000005	0.000000, 0.000000
98	2	782.207265, 499.841808	-1.110386, 1.131730	-0.009032, -0.008741
98	3	936.585715, 479.526988	-0.467445, 1.160306	-0.004543, -0.001810
99	1	640.000709, 360.000171	0.000014, 0.000005	0.000000, 0.000000
99	2	781.087916, 500.964725	-1.119349, 1.122917	-0.008962, -0.008813
99	3	936.113735, 480.685466	-0.471981, 1.158478	-0.004536, -0.001828
100	1	640.000722, 360.000176	0.000014, 0.000005	0.000000, 0.000000
100	2	779.959675, 502.078758	-1.128241, 1.114033	-0.008892, -0.008885
100	3	935.637226, 481.842098	-0.476509, 1.156632	-0.004529, -0.001846
101	1	640.000736, 360.000181	0.000014, 0.000005	0.000000, 0.000000
101	2	778.822613, 503.183835	-1.137062, 1.105077	-0.008822, -0.008955
101	3	935.156195, 482.996867	-0.481031, 1.154769	-0.004521, -0.001863
102	1	640.000750, 360.000187	0.000014, 0.000005	0.000000, 0.000000
102	2	777.676800, 504.279886	-1.145813, 1.096051	-0.008751, -0.009026
102	3	934.670650, 484.149755	-0.485545, 1.152888	-0.004514, -0.001881
103	1	640.000764, 360.000192	0.000014, 0.000005	0.000000, 0.000000
103	2	776.522308, 505.366842	-1.154492, 1.086956	-0.008679, -0.009095
103	3	934.180598, 485.300744	-0.490052, 1.150989	-0.004507, -0.001899
104	1	640.000778, 360.000198	0.000014, 0.000006	0.000000, 0.000000
104	2	775.359209, 506.444634	-1.163099, 1.077792	-0.008607, -0.009164
104	3	933.686047, 486.449816	-0.494551, 1.149073	-0.004499, -0.001916
105	1	640.000792, 360.000203	0.000014, 0.000006	0.000000, 0.000000
105	2	774.187576, 507.513192	-1.171633, 1.068558	-0.008534, -0.009233
105	3	933.187004, 487.596955	-0.499043, 1.147139	-0.004492, -0.001934
106	1	640.000807, 360.000209	0.000014, 0.000006	0.000000, 0.000000
106	2	773.007483, 508.572450	-1.180093, 1.059257	-0.008461, -0.009301
106	3	932.683476, 488.742142	-0.503528, 1.145187	-0.004484, -0.001952
107	1	640.000821, 360.000215	0.000014, 0.000006	0.000000, 0.000000
107	2	771.819002, 509.622339	-1.188480, 1.049889	-0.008387, -0.009368
107	3	932.175472, 489.885360	-0.508004, 1.143218	-0.004477, -0.001969
